session_id,timestamp,traffic_source,campaign_id,device_type,landing_page_variant,geo_region,returning_visitor,session_duration_sec,scroll_depth_pct,num_clicks,sections_viewed,time_to_first_scroll_sec,form_started,form_field_interactions,converted,appointment_set
s_682895,2026-03-15 22:21:03,facebook,fb_camp_0002,desktop,A,South,0,264.2,64.3,4,4,6.16,0,0,0,
s_209340,2026-03-14 03:33:31,facebook,fb_camp_0007,mobile,B,Northeast,0,7.6,5.9,66,1,0.37,0,0,0,
s_374197,2026-03-24 09:10:50,google,g_camp_0011,desktop,B,South,0,154.1,100.0,8,1,2.8,1,11,1,0.0
s_500073,2026-02-12 06:55:55,facebook,fb_camp_0002,mobile,A,West,1,29.0,46.2,2,3,3.85,0,0,0,
s_313925,2026-02-04 23:13:26,facebook,fb_camp_0003,mobile,B,West,0,22.9,15.5,0,2,9.47,0,0,0,
s_181717,2026-03-26 04:52:27,facebook,fb_camp_0003,mobile,B,Midwest,0,8.5,12.5,3,1,,0,0,0,
s_845088,2026-03-08 15:58:00,facebook,fb_camp_0002,desktop,A,Midwest,1,31.3,35.7,6,3,3.7,0,0,0,
s_484502,2026-03-16 06:58:06,facebook,fb_camp_0002,desktop,B,West,1,18.4,7.6,4,3,1.79,1,4,0,
s_176550,2026-03-21 08:01:35,facebook,fb_camp_0001,desktop,A,South,0,10.8,28.3,3,2,13.05,0,0,0,
s_896005,2026-02-19 08:11:11,facebook,fb_camp_0007,mobile,A,South,1,4.3,0.8,29,1,0.23,0,0,0,
s_843611,2026-02-03 18:05:12,google,g_camp_0013,mobile,B,Midwest,1,14.2,64.7,7,2,5.37,0,0,0,
s_109208,2026-03-11 13:32:52,facebook,fb_camp_0001,mobile,B,Northeast,0,27.6,34.7,3,4,5.69,0,0,0,
s_613304,2026-02-25 09:17:18,google,g_camp_0011,desktop,A,South,1,24.6,29.9,6,2,4.85,1,3,0,
s_131808,2026-02-02 08:22:28,facebook,fb_camp_0007,mobile,B,Northeast,0,8.8,2.4,30,0,0.62,0,0,0,
s_961628,2026-02-22 21:31:39,facebook,fb_camp_0002,mobile,A,West,0,1.7,0.0,0,0,4.82,0,0,0,
s_305353,2026-02-18 03:42:13,google,g_camp_0011,mobile,B,South,0,21.4,32.3,8,2,4.53,0,0,0,
s_176524,2026-03-25 04:50:02,google,g_camp_0012,mobile,B,South,1,27.7,,4,4,4.61,0,0,0,
s_344770,2026-02-20 03:34:53,facebook,fb_camp_0002,desktop,A,South,0,26.0,25.1,4,3,4.25,1,3,0,
s_590095,2026-02-04 15:11:56,google,g_camp_0013,mobile,B,West,0,9.9,49.8,1,3,6.34,0,0,0,
s_926918,2026-02-16 03:59:02,facebook,fb_camp_0001,mobile,A,Northeast,0,22.4,0.0,0,2,6.2,0,0,0,
s_871059,2026-03-21 14:11:44,facebook,fb_camp_0001,mobile,A,South,0,22.6,7.1,1,2,4.97,0,0,0,
s_903433,2026-02-06 04:16:04,google,g_camp_0011,desktop,B,South,1,203.3,43.2,10,9,4.88,1,3,0,
s_603667,2026-02-05 03:05:21,google,g_camp_0012,mobile,A,South,0,86.1,53.2,3,1,6.64,1,5,0,
s_347965,2026-02-17 03:35:54,google,g_camp_0012,mobile,B,South,0,47.0,37.2,5,4,2.87,0,0,0,
s_646731,2026-03-16 07:43:27,facebook,fb_camp_0001,desktop,B,Midwest,1,35.6,51.0,2,3,18.37,0,0,0,
s_009781,2026-03-10 08:12:33,google,g_camp_0012,mobile,B,West,0,26.6,7.3,4,2,1.51,0,0,0,
s_396533,2026-03-12 04:19:00,facebook,fb_camp_0002,mobile,B,Midwest,0,7.5,10.7,0,2,14.23,0,0,0,
s_027338,2026-02-16 21:48:38,facebook,fb_camp_0003,mobile,B,South,1,9.8,0.0,2,2,5.54,0,0,0,
s_004653,2026-02-27 15:52:46,google,g_camp_0011,mobile,B,Northeast,0,259.3,57.3,10,6,2.16,1,2,0,
s_432195,2026-02-05 08:48:42,facebook,fb_camp_0001,tablet,B,South,0,20.5,2.1,3,1,7.95,0,0,0,
s_465392,2026-03-01 20:09:12,google,g_camp_0012,mobile,A,South,0,8.0,55.7,6,6,5.13,1,2,0,
s_924945,2026-02-26 10:26:56,google,g_camp_0011,desktop,A,Northeast,1,287.8,76.2,2,6,3.54,0,0,0,
s_147152,2026-02-12 21:30:58,google,g_camp_0012,mobile,B,South,1,39.3,54.2,4,5,2.33,0,0,0,
s_190386,2026-03-08 03:29:35,facebook,fb_camp_0003,mobile,B,West,0,8.4,0.0,1,0,5.9,0,0,0,
s_322447,2026-02-23 00:26:11,google,g_camp_0011,mobile,B,West,0,24.0,42.7,3,5,6.09,0,0,0,
s_210292,2026-02-21 12:06:21,google,g_camp_0013,desktop,B,South,0,38.5,31.7,5,3,4.22,0,0,0,
s_513993,2026-02-19 17:26:42,google,g_camp_0011,mobile,A,South,0,158.0,64.7,5,6,2.32,1,1,0,
s_428061,2026-02-20 20:48:02,facebook,fb_camp_0003,mobile,B,West,0,28.6,51.9,2,2,3.17,0,0,0,
s_341635,2026-03-01 15:06:10,google,g_camp_0012,desktop,B,West,0,205.7,70.5,10,8,1.47,0,0,0,
s_361166,2026-03-06 05:59:37,google,g_camp_0012,desktop,A,Northeast,1,6.8,52.0,3,2,2.5,0,0,0,
s_366950,2026-02-07 04:46:03,google,g_camp_0011,mobile,A,Northeast,0,57.2,49.0,5,3,7.68,0,0,0,
s_102469,2026-03-25 02:11:53,facebook,fb_camp_0003,mobile,B,West,1,14.9,53.9,3,1,2.6,0,0,0,
s_985521,2026-02-15 01:06:40,google,g_camp_0012,mobile,B,Northeast,1,41.6,58.5,2,4,,0,0,0,
s_118080,2026-03-24 11:20:23,google,g_camp_0012,mobile,A,South,0,30.2,51.7,4,4,8.0,0,0,0,
s_242827,2026-02-26 06:02:47,google,g_camp_0011,mobile,B,South,0,14.8,61.8,1,2,4.43,0,0,0,
s_176208,2026-03-28 22:10:09,facebook,fb_camp_0003,mobile,A,Northeast,0,38.1,27.5,1,1,13.21,0,0,0,
s_124911,2026-02-24 22:23:02,facebook,fb_camp_0002,tablet,A,South,0,34.4,31.8,1,3,8.39,0,0,0,
s_994117,2026-03-23 22:24:51,google,g_camp_0011,mobile,B,Midwest,0,31.6,33.4,5,4,6.95,0,0,0,
s_476585,2026-03-27 20:25:17,google,g_camp_0012,desktop,A,South,0,77.6,22.4,5,3,5.23,0,0,0,
s_434205,2026-02-12 01:01:12,facebook,fb_camp_0001,desktop,A,Midwest,1,34.5,40.6,1,4,1.79,0,0,0,
s_083581,2026-02-17 02:51:14,facebook,fb_camp_0001,mobile,B,South,0,24.1,50.2,1,1,2.6,0,0,0,
s_606518,2026-02-06 12:54:33,facebook,fb_camp_0002,mobile,B,Midwest,0,9.3,4.2,1,1,8.22,0,0,0,
s_082295,2026-02-26 07:48:26,google,g_camp_0012,mobile,B,Midwest,0,103.8,68.6,10,7,2.61,1,9,1,0.0
s_357459,2026-02-23 10:46:08,facebook,fb_camp_0002,mobile,B,South,0,33.4,0.0,5,1,2.53,0,0,0,
s_852818,2026-03-23 14:28:26,google,g_camp_0013,desktop,A,South,1,33.2,73.4,2,2,3.08,0,0,0,
s_669661,2026-02-16 02:59:43,google,g_camp_0011,mobile,A,South,0,63.6,58.3,6,4,3.5,0,0,0,
s_748498,2026-03-11 02:57:47,facebook,fb_camp_0001,mobile,A,Midwest,0,14.1,70.8,1,2,10.49,0,0,0,
s_890487,2026-03-15 18:01:20,google,g_camp_0013,mobile,B,South,0,33.3,50.0,7,6,2.21,1,10,1,0.0
s_588496,2026-03-01 19:53:35,facebook,fb_camp_0003,mobile,B,Midwest,0,9.8,0.0,2,0,11.44,0,0,0,
s_223399,2026-03-19 15:13:25,google,g_camp_0011,mobile,B,Northeast,1,38.8,41.3,4,3,3.63,0,0,0,
s_585599,2026-03-28 01:00:00,facebook,fb_camp_0002,mobile,B,Midwest,0,22.7,24.6,1,1,3.29,0,0,0,
s_128354,2026-02-08 09:29:40,google,g_camp_0013,mobile,A,South,0,12.6,30.3,1,0,8.53,0,0,0,
s_245076,2026-02-22 08:25:42,facebook,fb_camp_0001,mobile,B,Midwest,0,18.7,22.9,3,2,5.93,0,0,0,
s_890561,2026-02-16 03:27:44,google,g_camp_0012,mobile,A,South,0,28.3,22.3,6,4,3.67,0,0,0,
s_956456,2026-02-21 21:18:07,facebook,fb_camp_0003,mobile,A,West,0,14.3,28.0,0,0,3.83,0,0,0,
s_950118,2026-02-22 06:49:26,facebook,fb_camp_0001,mobile,B,Northeast,0,14.9,44.7,4,4,1.5,0,0,0,
s_060642,2026-02-14 22:21:11,facebook,fb_camp_0001,mobile,B,South,0,19.8,0.0,1,0,5.9,0,0,0,
s_167513,2026-02-24 12:45:47,google,g_camp_0013,desktop,A,Northeast,0,39.5,58.5,7,4,2.38,1,7,1,1.0
s_585531,2026-02-03 11:51:05,facebook,fb_camp_0001,mobile,B,South,1,7.9,19.4,2,0,5.07,0,0,0,
s_854562,2026-02-15 17:12:11,facebook,fb_camp_0001,mobile,B,South,0,21.4,45.6,2,4,3.9,0,0,0,
s_237977,2026-03-13 19:12:48,facebook,fb_camp_0007,desktop,A,South,0,6.0,2.8,63,0,1.34,0,0,0,
s_601056,2026-02-13 03:45:49,google,g_camp_0013,mobile,B,Midwest,0,130.6,32.6,5,3,4.6,1,4,0,
s_667620,2026-03-15 19:21:24,facebook,fb_camp_0001,desktop,A,West,0,18.4,25.5,0,2,4.95,0,0,0,
s_469132,2026-02-24 03:36:51,facebook,fb_camp_0002,mobile,B,Midwest,0,8.3,10.4,1,1,12.22,0,0,0,
s_305372,2026-02-27 10:13:35,facebook,fb_camp_0002,desktop,A,South,0,83.0,36.6,4,3,5.59,0,0,0,
s_507529,2026-03-22 18:38:19,facebook,fb_camp_0001,mobile,B,West,0,23.8,0.0,1,3,4.86,0,0,0,
s_445422,2026-03-27 20:41:33,facebook,fb_camp_0002,mobile,B,Northeast,0,15.8,21.8,2,5,9.18,0,0,0,
s_904471,2026-03-08 18:29:31,google,g_camp_0011,mobile,B,South,0,22.9,80.8,6,4,9.12,0,0,0,
s_020483,2026-02-17 03:13:29,facebook,fb_camp_0001,desktop,B,Northeast,0,6.4,38.9,3,5,4.51,0,0,0,
s_211497,2026-02-27 19:51:39,facebook,fb_camp_0001,desktop,A,South,0,53.0,40.9,6,3,4.76,0,0,0,
s_766261,2026-03-02 13:22:59,facebook,fb_camp_0001,mobile,A,South,0,5.8,25.2,1,2,6.14,0,0,0,
s_293961,2026-02-12 16:08:47,google,g_camp_0011,mobile,A,Midwest,0,25.7,18.8,5,3,3.63,0,0,0,
s_133183,2026-02-02 13:24:34,google,g_camp_0011,tablet,A,Midwest,1,61.4,80.6,6,3,4.43,1,4,0,
s_981583,2026-02-24 06:09:26,google,g_camp_0011,mobile,A,South,0,176.5,63.4,8,6,5.21,1,4,0,
s_407874,2026-02-19 19:21:16,facebook,fb_camp_0003,desktop,A,Northeast,1,65.9,41.6,4,3,4.13,0,0,0,
s_225888,2026-03-01 05:48:05,facebook,fb_camp_0002,mobile,B,West,0,15.1,0.0,0,0,3.55,0,0,0,
s_133522,2026-02-15 03:26:27,facebook,fb_camp_0001,mobile,B,South,0,26.3,20.3,2,3,4.23,0,0,0,
s_296366,2026-02-02 06:25:58,google,g_camp_0013,desktop,B,Northeast,0,86.1,19.3,3,3,3.42,0,0,0,
s_099024,2026-02-21 03:14:49,facebook,fb_camp_0003,desktop,A,West,0,40.1,35.7,2,3,2.84,0,0,0,
s_141274,2026-02-07 20:12:29,facebook,fb_camp_0002,tablet,A,South,0,32.9,37.1,2,2,14.32,0,0,0,
s_709490,2026-02-11 22:47:07,google,g_camp_0012,desktop,A,Northeast,0,12.4,57.9,2,3,2.8,0,0,0,
s_754660,2026-03-14 14:10:56,facebook,fb_camp_0007,mobile,A,West,0,5.6,0.6,48,1,1.65,0,0,0,
s_778510,2026-03-25 03:56:13,google,g_camp_0012,desktop,A,West,0,129.7,100.0,8,4,1.64,0,0,0,
s_977942,2026-02-21 08:11:36,facebook,fb_camp_0001,desktop,A,Midwest,0,122.6,45.9,3,2,8.27,1,4,0,
s_363859,2026-03-22 10:40:52,google,g_camp_0011,mobile,B,West,0,55.3,59.6,4,4,3.15,0,0,0,
s_496874,2026-03-28 03:16:10,facebook,fb_camp_0002,mobile,A,Northeast,0,6.2,0.0,3,0,11.76,0,0,0,
s_139185,2026-02-03 10:41:28,facebook,fb_camp_0007,desktop,A,Northeast,0,2.5,4.5,78,1,0.57,0,0,0,
s_503090,2026-03-20 02:32:27,facebook,fb_camp_0001,mobile,A,South,0,36.2,34.5,2,1,6.91,0,0,0,
s_812170,2026-02-18 12:36:56,google,g_camp_0011,mobile,B,Midwest,0,77.3,22.7,6,5,0.62,0,0,0,
s_034530,2026-02-17 02:53:55,facebook,fb_camp_0001,mobile,A,West,1,13.5,26.8,2,0,7.19,0,0,0,
s_531618,2026-02-20 08:59:28,google,g_camp_0012,mobile,B,South,0,44.4,62.7,10,5,5.16,0,0,0,
s_239283,2026-03-19 09:40:43,google,g_camp_0011,desktop,A,South,0,42.5,32.6,2,4,6.04,0,0,0,
s_260415,2026-03-17 01:27:21,facebook,fb_camp_0007,desktop,A,West,0,3.6,5.1,63,0,0.85,0,0,0,
s_440916,2026-02-11 22:51:50,google,g_camp_0012,mobile,B,South,1,22.3,33.6,4,1,3.04,0,0,0,
s_489325,2026-03-17 13:18:22,facebook,fb_camp_0002,tablet,A,South,0,12.0,0.0,1,1,3.38,0,0,0,
s_639315,2026-03-23 07:53:37,facebook,fb_camp_0002,desktop,B,Midwest,0,60.8,45.7,10,7,0.87,1,8,1,1.0
s_150506,2026-03-12 00:59:13,facebook,fb_camp_0002,mobile,B,Northeast,1,24.4,48.2,5,6,4.38,0,0,0,
s_181300,2026-03-01 22:56:10,facebook,fb_camp_0002,desktop,A,South,0,43.0,64.5,1,4,3.62,0,0,0,
s_964311,2026-03-08 08:58:06,google,g_camp_0011,mobile,A,West,0,47.4,76.6,9,3,,0,0,0,
s_241786,2026-02-27 19:29:53,google,g_camp_0013,mobile,B,Northeast,1,25.9,57.7,1,2,10.69,0,0,0,
s_204638,2026-03-20 17:20:16,facebook,fb_camp_0003,mobile,A,South,0,17.8,30.6,4,6,4.74,0,0,0,
s_541710,2026-03-21 14:57:42,facebook,fb_camp_0002,mobile,B,South,0,34.6,10.6,0,4,14.65,0,0,0,
s_926765,2026-02-19 17:58:37,google,g_camp_0011,mobile,A,Northeast,0,20.4,22.2,2,1,5.67,0,0,0,
s_195648,2026-03-18 04:13:54,google,g_camp_0012,mobile,B,Midwest,0,8.9,,3,2,5.63,0,0,0,
s_709971,2026-02-28 03:49:17,facebook,fb_camp_0001,mobile,B,Northeast,0,11.7,22.8,3,2,3.21,0,0,0,
s_752728,2026-02-27 19:41:24,facebook,fb_camp_0001,mobile,B,Midwest,1,13.7,47.9,2,1,9.07,0,0,0,
s_726724,2026-02-22 11:01:43,google,g_camp_0012,mobile,B,Midwest,0,12.3,28.8,1,5,9.39,0,0,0,
s_968699,2026-03-06 05:38:21,facebook,fb_camp_0002,desktop,A,Northeast,0,12.5,30.1,1,2,4.66,0,0,0,
s_376710,2026-03-27 20:07:29,facebook,fb_camp_0003,mobile,A,Midwest,1,29.8,32.3,3,2,5.26,0,0,0,
s_667464,2026-03-02 08:54:20,google,g_camp_0012,mobile,B,South,0,47.1,42.9,3,6,6.75,0,0,0,
s_627210,2026-03-08 14:55:58,google,g_camp_0012,mobile,A,West,0,62.7,29.3,2,2,3.06,0,0,0,
s_400702,2026-03-16 09:42:36,google,g_camp_0013,mobile,B,South,0,112.0,28.2,6,7,3.03,0,0,0,
s_551348,2026-03-08 18:20:10,google,g_camp_0012,mobile,B,West,0,54.3,62.0,7,2,2.68,0,0,0,
s_227721,2026-03-04 20:23:09,google,g_camp_0012,mobile,B,Midwest,0,21.4,23.2,7,2,4.76,1,2,0,
s_716260,2026-03-23 20:08:24,google,g_camp_0012,mobile,B,Midwest,0,57.2,25.1,5,2,2.8,0,0,0,
s_662606,2026-03-16 10:23:09,google,g_camp_0011,desktop,A,South,0,34.4,42.7,2,4,5.32,0,0,0,
s_657691,2026-03-03 22:40:21,facebook,fb_camp_0001,desktop,A,West,0,81.1,70.3,8,4,4.24,0,0,0,
s_159172,2026-03-16 13:11:53,facebook,fb_camp_0002,desktop,B,West,0,3.6,35.9,2,1,5.8,0,0,0,
s_062688,2026-02-17 05:43:46,google,g_camp_0011,mobile,B,Midwest,0,57.3,63.5,5,4,7.35,1,1,0,
s_765011,2026-03-05 14:08:01,google,g_camp_0013,mobile,B,West,0,13.7,15.9,1,2,8.08,0,0,0,
s_385249,2026-02-27 04:29:50,facebook,fb_camp_0002,desktop,A,Midwest,1,18.8,11.4,5,1,3.18,0,0,0,
s_889969,2026-03-23 00:06:28,facebook,fb_camp_0002,tablet,B,South,0,207.9,70.9,4,5,7.85,0,0,0,
s_843104,2026-02-20 09:07:39,google,g_camp_0012,desktop,A,South,1,42.3,48.8,5,5,3.39,0,0,0,
s_749685,2026-03-04 13:28:30,facebook,fb_camp_0003,mobile,B,West,0,30.1,56.1,6,4,10.87,0,0,0,
s_134678,2026-02-18 00:18:46,facebook,fb_camp_0007,mobile,B,South,0,5.8,3.8,37,1,1.23,0,0,0,
s_781893,2026-03-25 16:12:37,facebook,fb_camp_0001,desktop,B,West,1,78.4,6.4,1,3,9.4,0,0,0,
s_346820,2026-02-21 02:43:06,facebook,fb_camp_0002,mobile,B,West,0,40.0,50.6,3,0,4.5,0,0,0,
s_900857,2026-02-05 01:02:48,facebook,fb_camp_0002,desktop,A,South,0,37.3,8.7,1,0,5.3,0,0,0,
s_563519,2026-02-04 03:57:01,facebook,fb_camp_0007,desktop,B,South,0,1.1,1.2,15,1,0.29,0,0,0,
s_719258,2026-03-12 19:28:24,google,g_camp_0012,mobile,A,South,0,61.1,85.4,4,4,1.54,0,0,0,
s_143360,2026-02-07 01:45:13,facebook,fb_camp_0002,mobile,B,Midwest,1,13.5,36.3,3,3,3.33,0,0,0,
s_235174,2026-03-06 23:21:17,facebook,fb_camp_0007,desktop,A,West,0,2.4,,32,0,1.04,0,0,0,
s_941467,2026-02-21 17:09:53,google,g_camp_0012,tablet,B,South,1,159.4,72.8,10,8,1.97,1,2,0,
s_369554,2026-03-24 09:45:19,google,g_camp_0012,mobile,B,West,1,178.9,30.4,4,5,4.38,0,0,0,
s_439260,2026-03-28 05:02:01,facebook,fb_camp_0003,mobile,A,South,0,5.3,10.7,0,1,7.36,0,0,0,
s_432517,2026-02-12 20:28:34,facebook,fb_camp_0003,mobile,A,Northeast,0,11.0,28.9,1,2,15.17,1,4,0,
s_006058,2026-03-05 08:57:24,facebook,fb_camp_0003,mobile,B,West,1,81.0,47.4,6,3,8.78,1,5,1,0.0
s_262838,2026-02-15 15:51:14,google,g_camp_0013,mobile,B,South,0,16.9,51.0,4,4,4.34,1,4,0,
s_251100,2026-03-17 07:30:38,facebook,fb_camp_0003,mobile,A,South,0,8.7,25.5,1,2,2.45,0,0,0,
s_409212,2026-03-14 02:16:52,facebook,fb_camp_0003,mobile,B,South,0,14.7,36.6,0,0,7.87,0,0,0,
s_629422,2026-02-03 08:07:50,google,g_camp_0013,mobile,B,Midwest,0,8.6,30.7,4,4,4.78,0,0,0,
s_877893,2026-03-01 19:22:42,google,g_camp_0013,mobile,B,Midwest,1,32.5,23.6,4,3,6.26,0,0,0,
s_723478,2026-02-18 23:13:22,facebook,fb_camp_0002,mobile,B,Midwest,0,15.5,37.0,6,3,7.1,0,0,0,
s_716532,2026-02-21 01:05:18,facebook,fb_camp_0001,mobile,B,South,0,21.3,22.4,3,3,5.93,0,0,0,
s_766566,2026-03-08 06:47:19,google,g_camp_0011,desktop,A,West,0,81.4,62.8,1,3,4.02,1,4,0,
s_468821,2026-03-24 22:18:32,facebook,fb_camp_0002,mobile,A,South,0,12.4,1.4,1,2,4.68,0,0,0,
s_064160,2026-03-11 03:36:10,facebook,fb_camp_0002,mobile,A,West,0,11.4,0.0,2,2,9.49,0,0,0,
s_989676,2026-02-07 15:26:51,facebook,fb_camp_0007,desktop,A,Northeast,1,5.8,4.4,26,0,1.96,0,0,0,
s_851290,2026-02-21 13:14:11,google,g_camp_0013,mobile,A,South,0,21.4,0.0,4,5,3.68,0,0,0,
s_991293,2026-02-06 03:49:20,facebook,fb_camp_0001,mobile,B,South,0,12.1,34.9,4,5,5.54,0,0,0,
